code,Corp_name,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Fixed_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Proportion_of_fixed_assets,Liquidation_value_ratio,Equity_ratio,Capital_fixed_ratio,Net_fixed_asset_value_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Ratio_of_shareholders_equity_to_fixed_assets,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity,Return_on_net_assets,Return_on_assets,Sales_gross_margin,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit,Total_profit,Income_tax_expense,Net_profit,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Net_fixed_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents,Closing_cash_and_cash_equivalents_balances,Total_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Total_liabilities_and_owners_equity,y
597,东北制药集团股份有限公司,29.0,"143,431.626500",41325.0,3.45,7102.0,35.71,17.35,6.51,0.06,4.92,0.04,0.10,325.50,0.83,583.91,85.40,0.46,,3.16,82.30,3.28,9.69,4.67,373.20,7.60,,,231.91,139.13,,,,242.16,,,29.23,,70.77,"-3,543.40",43.86,0.75,0.88,0.9,37.71,0.96,3.36,3.47,61.35,2.08,9.59,9.59,3.07,0.9,,32.31,-9.16,231.91,"656,942","247,740","22,767",,"-1,910","20,857","13,663","67,268","118,417","1,523,641","904,090","1,078,346","1,032,670","429,743",3.05,"656,942","403,053","22,767","20,857","7,194","13,663",0.09,"452,968","215,959","130,253","904,090",,"1,523,641","1,032,670","45,677","1,078,346","445,294","122,062","67,268","-17,499","67,722","118,417","240,479","904,090","619,551","1,523,641","1,032,670","45,677","1,078,346","445,294","1,523,641",0
2999,广东天禾农资股份有限公司,,"34,759.200000",26201.0,1.33,2152.0,37.69,10.64,-19.85,-0.17,-7.41,-0.14,-0.07,104.81,2.58,130.55,48.60,2.07,,5.56,6.83,39.52,25.49,7.56,5.38,36.55,,,337.42,94.08,,,,384.89,,,20.62,,79.38,683.48,20.54,0.66,1.16,1.86,6.52,2.03,1.32,1.28,93.38,0.98,36.83,36.83,9.04,1.86,,4.55,1.47,337.42,"1,302,514","84,912","16,717",128,120,"16,837","12,803","-94,922","-20,590","687,064","553,755","545,369","478,103","114,293",7.89,"1,302,514","1,216,308","16,717","16,837","4,034","12,803",0.26,"98,183","59,588","239,016","553,755",,"687,064","478,103","67,266","545,369","141,695","87,443","-94,922","-22,466","96,786","-20,590","66,853","553,755","133,308","687,064","478,103","67,266","545,369","141,695","687,064",1
698,沈阳化工股份有限公司,26.0,"81,951.439500",63543.0,1.29,2621.0,31.25,10.0,19.20,0.14,,0.08,0.14,256.65,1.05,531.39,56.52,0.51,,4.78,5.79,46.63,-16.78,-10.47,-174.93,-40.80,,,105.62,121.15,,15.26,102.66,121.01,,8.15,45.25,1.47,54.75,-314.30,57.46,0.96,1.14,-2.82,2.21,-2.6,-4.62,-4.73,97.07,-5.11,-29.59,-29.59,-6.24,-2.82,,3.90,-0.80,105.62,"474,518","10,501","-22,451",,177,"-22,274","-24,250","65,362","17,486","858,790","388,007","470,210","340,436","387,573",-6.09,"474,518","460,602","-22,451","-22,274","1,976","-24,250",-0.3,"195,621","11,256","61,274","388,007",,"858,790","340,436","129,774","470,210","388,580","105,253","65,362","1,567","-49,467","17,486","122,738","388,007","470,783","858,790","340,436","129,774","470,210","388,580","858,790",0
1209,广东洪兴实业股份有限公司,18.0,"13,152.272000",17689.0,0.74,2019.0,3.67,5.6,-46.61,-0.41,-30.18,-0.06,-0.11,340.26,0.79,474.18,176.46,0.57,,1.53,31.08,8.69,-1.36,-1.13,-95.65,6.05,,,16.30,46.26,,,,18.46,,,84.42,,15.58,-576.32,107.82,2.53,4.43,0.21,36.42,0.21,0.71,0.62,62.96,0.36,2.40,2.40,0.25,0.21,,30.32,40.54,16.30,"86,386","31,460",535,191,43,578,315,"-9,508","-55,441","148,246","90,358","23,102","20,398","125,158",0.26,"86,386","54,388",535,578,263,315,0.02,"21,993","10,331","38,690","90,358",,"148,246","20,398","2,704","23,102","125,144","77,434","-9,508","-45,580",-354,"-55,441","21,993","90,358","57,888","148,246","20,398","2,704","23,102","125,144","148,246",0
2186,中国全聚德(集团)股份有限公司,,"30,846.395500",24773.0,1.25,3121.0,17.27,31.11,-19.13,-0.14,,-0.06,-0.17,218.06,1.24,799.53,29.75,0.34,,9.08,17.91,15.08,-17.82,-24.96,,-22.31,,,58.49,134.58,,,,79.44,,,55.73,,44.27,"-2,557.44",44.63,0.62,0.77,-11.87,-8.78,-11.12,-24.18,-32.86,107.30,-32.93,-60.24,-60.24,-21.3,-11.87,,26.71,-8.30,58.49,"56,434","-4,952","-18,544","1,480",56,"-18,488","-18,583","-9,759","3,389","156,525","39,131","69,297","51,019","84,612",-18.76,"56,434","60,554","-18,544","-18,488",94,"-18,583",-0.57,"22,673","3,620","7,283","39,131",,"156,525","51,019","18,278","69,297","87,227","18,039","-9,759","17,569","-4,421","3,389","21,428","39,131","117,394","156,525","51,019","18,278","69,297","87,227","156,525",1
1217,安徽华尔泰化工股份有限公司,22.0,"33,187.000000",28262.0,1.17,1024.0,9.08,12.89,20.72,0.19,0.78,0.05,0.09,243.57,1.11,422.07,29.70,0.64,,9.09,9.52,28.35,24.58,9.79,-42.12,21.22,,,33.44,58.82,,,,35.79,,,73.65,,26.35,"-5,607.34",106.60,2.06,2.3,6.54,16.05,7.14,14.47,11.82,83.40,11.16,54.44,54.44,8.88,6.54,,2.24,9.76,33.44,"161,909","25,994","19,138",920,"1,050","20,188","18,068","14,092","16,229","276,156","156,529","72,779","68,016","203,377",9.11,"161,909","135,024","19,138","20,188","2,120","18,068",0.54,"72,505","4,875","16,418","156,529",,"276,156","68,016","4,763","72,779","203,377","41,102","14,092","8,775","-6,637","16,229","57,331","156,529","119,628","276,156","68,016","4,763","72,779","203,377","276,156",0
603696,安记食品股份有限公司,27.0,"23,520.000000",22499.0,1.05,398.0,16.58,10.55,4.47,0.04,0.26,0.01,0.01,251.28,1.07,427.42,29.10,0.63,,9.28,9.46,28.54,-1.04,-0.52,-55.00,0.64,,,17.52,48.50,,,,17.68,,,84.97,,15.03,-592.70,117.59,3.55,3.95,2.54,16.03,2.53,4.95,4.58,83.50,4.01,6.87,6.87,2.99,2.54,,8.54,4.15,17.52,"40,293","6,458","1,844",76,0,"1,844","1,615",422,"-4,693","63,467","37,310","9,537","9,446","53,930",2.97,"40,293","33,646","1,844","1,844",229,"1,615",0.07,"11,108","1,612","3,779","37,310",,"63,467","9,446",91,"9,537","53,930","15,693",422,"-2,446","-2,940","-4,693","11,000","37,310","26,156","63,467","9,446",91,"9,537","53,930","63,467",0
837,秦川机床工具集团股份公司,,"89,937.091000",97614.0,0.92,9898.0,16.03,10.21,-2.68,-0.02,-0.40,-0.01,-0.03,420.23,0.64,707.73,190.07,0.38,,1.42,72.58,3.72,8.62,6.69,-22.65,-23.89,,,90.22,82.89,,8.09,76.19,104.30,,4.31,48.95,0.22,51.05,"1,205.45",32.54,0.95,1.49,2.69,17.67,2.77,8.07,7.52,81.20,7.26,24.99,24.99,5.49,2.69,,10.75,3.33,90.22,"309,645","54,699","23,276",794,-20,"23,256","22,472","-8,940","-24,911","836,132","496,887","426,869","333,207","343,758",6.19,"309,645","251,423","23,276","23,256",783,"22,472",0.23,"108,436","99,104","179,579","496,887",,"836,132","333,207","93,662","426,869","409,263","115,152","-8,940","-21,725","5,563","-24,911","90,241","496,887","339,245","836,132","333,207","93,662","426,869","409,263","836,132",0
300718,浙江长盛滑动轴承股份有限公司,27.0,"29,801.054900",7950.0,3.75,983.0,10.58,10.48,39.16,0.3,0.61,0.05,0.10,366.00,0.74,571.07,88.80,0.47,,3.04,88.00,3.07,10.30,7.98,5.28,10.13,,,15.46,42.23,,1.87,41.44,17.54,,1.62,85.08,0.03,14.92,"-4,723.21",32.72,4.57,5.55,7.43,27.06,7.64,23.65,19.00,72.17,16.17,43.48,43.48,8.74,7.43,,7.32,13.08,15.46,"80,156","21,693","15,231","2,006",-16,"15,216","12,958","7,874","-5,981","174,298","111,675","26,008","20,106","139,132",9.39,"80,156","57,844","15,231","15,216","2,258","12,958",0.44,"6,580","27,712","19,881","111,675",,"174,298","20,106","5,902","26,008","148,290","12,464","7,874","-9,603","-4,322","-5,981","6,483","111,675","62,623","174,298","20,106","5,902","26,008","148,290","174,298",0
899,江西赣能股份有限公司,,"97,567.776000",84637.0,1.15,796.0,62.19,11.81,11.94,0.03,1.17,0.02,0.07,164.07,1.65,982.18,30.68,0.27,,8.80,34.21,7.89,17.80,-1.72,,41.74,,,112.88,184.32,,44.57,102.18,123.95,,35.9,44.65,11.26,55.35,311.66,54.69,1.06,1.22,1.47,9.94,1.55,6.04,5.79,89.67,5.63,16.45,16.45,3.3,1.47,,5.29,47.28,112.88,"285,086","28,328","16,508","7,848",-81,"16,426","16,050","18,854","9,348","1,088,752","192,651","602,592","157,929","480,945",3.38,"285,086","255,626","16,508","16,426",376,"16,050",0.16,"86,367","50,465","25,650","192,651",,"1,088,752","157,929","444,663","602,592","486,160","75,292","18,854","-92,218","82,712","9,348","84,640","192,651","896,101","1,088,752","157,929","444,663","602,592","486,160","1,088,752",0
