code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity.1,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit.1,Total_profit.1,Income_tax_expense,Net_profit.1,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets.1,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities.1,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities.1,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents.1,Closing_cash_and_cash_equivalents_balances,Total_current_assets.1,Total_non_current_assets,Total_assets.2,Total_current_liabilities.1,Total_non_current_liabilities.1,Total_liabilities.2,Total_owners_equity.1,Total_liabilities_and_owners_equity,y
597,29.0,143431.6265,41325.0,3.45,7102.0,35.71,17.35,6.51,0.06,4.92,0.04,0.1,325.5,0.83,583.91,85.4,0.46,3.16,82.3,3.28,9.69,4.67,373.2,7.6,231.91,139.13,9.3883466933868,56.19058116232465,242.16,5.2352104208416845,29.23,-0.0385270541082162,70.77,-3543.4,43.86,0.75,0.88,0.9,37.71,0.96,3.36,3.47,61.35,2.08,9.59,9.59,3.07,0.9,32.31,-9.16,231.91,656942.0,247740.0,22767.0,36608.162324649296,-1910.0,20857.0,13663.0,67268.0,118417.0,1523641.0,904090.0,1078346.0,1032670.0,429743.0,3.05,656942.0,403053.0,22767.0,20857.0,7194.0,13663.0,0.09,452968.0,215959.0,130253.0,904090.0,1523641.0,1032670.0,45677.0,1078346.0,445294.0,122062.0,67268.0,-17499.0,67722.0,118417.0,240479.0,904090.0,619551.0,1523641.0,1032670.0,45677.0,1078346.0,445294.0,1523641.0,0
2999,15.721442885771545,34759.2,26201.0,1.33,2152.0,37.69,10.64,-19.85,-0.17,-7.41,-0.14,-0.07,104.81,2.58,130.55,48.6,2.07,5.56,6.83,39.52,25.49,7.56,5.38,36.55,337.42,94.08,9.3883466933868,56.19058116232465,384.89,5.2352104208416845,20.62,-0.0385270541082162,79.38,683.48,20.54,0.66,1.16,1.86,6.52,2.03,1.32,1.28,93.38,0.98,36.83,36.83,9.04,1.86,4.55,1.47,337.42,1302514.0,84912.0,16717.0,128.0,120.0,16837.0,12803.0,-94922.0,-20590.0,687064.0,553755.0,545369.0,478103.0,114293.0,7.89,1302514.0,1216308.0,16717.0,16837.0,4034.0,12803.0,0.26,98183.0,59588.0,239016.0,553755.0,687064.0,478103.0,67266.0,545369.0,141695.0,87443.0,-94922.0,-22466.0,96786.0,-20590.0,66853.0,553755.0,133308.0,687064.0,478103.0,67266.0,545369.0,141695.0,687064.0,0
698,26.0,81951.4395,63543.0,1.29,2621.0,31.25,10.0,19.2,0.14,0.230961923847695,0.08,0.14,256.65,1.05,531.39,56.52,0.51,4.78,5.79,46.63,-16.78,-10.47,-174.93,-40.8,105.62,121.15,15.26,102.66,121.01,8.15,45.25,1.47,54.75,-314.3,57.46,0.96,1.14,-2.82,2.21,-2.6,-4.62,-4.73,97.07,-5.11,-29.59,-29.59,-6.24,-2.82,3.9,-0.8,105.62,474518.0,10501.0,-22451.0,36608.162324649296,177.0,-22274.0,-24250.0,65362.0,17486.0,858790.0,388007.0,470210.0,340436.0,387573.0,-6.09,474518.0,460602.0,-22451.0,-22274.0,1976.0,-24250.0,-0.3,195621.0,11256.0,61274.0,388007.0,858790.0,340436.0,129774.0,470210.0,388580.0,105253.0,65362.0,1567.0,-49467.0,17486.0,122738.0,388007.0,470783.0,858790.0,340436.0,129774.0,470210.0,388580.0,858790.0,0
1209,18.0,13152.272,17689.0,0.74,2019.0,3.67,5.6,-46.61,-0.41,-30.18,-0.06,-0.11,340.26,0.79,474.18,176.46,0.57,1.53,31.08,8.69,-1.36,-1.13,-95.65,6.05,16.3,46.26,9.3883466933868,56.19058116232465,18.46,5.2352104208416845,84.42,-0.0385270541082162,15.58,-576.32,107.82,2.53,4.43,0.21,36.42,0.21,0.71,0.62,62.96,0.36,2.4,2.4,0.25,0.21,30.32,40.54,16.3,86386.0,31460.0,535.0,191.0,43.0,578.0,315.0,-9508.0,-55441.0,148246.0,90358.0,23102.0,20398.0,125158.0,0.26,86386.0,54388.0,535.0,578.0,263.0,315.0,0.02,21993.0,10331.0,38690.0,90358.0,148246.0,20398.0,2704.0,23102.0,125144.0,77434.0,-9508.0,-45580.0,-354.0,-55441.0,21993.0,90358.0,57888.0,148246.0,20398.0,2704.0,23102.0,125144.0,148246.0,0
2186,15.721442885771545,30846.3955,24773.0,1.25,3121.0,17.27,31.11,-19.13,-0.14,0.230961923847695,-0.06,-0.17,218.06,1.24,799.53,29.75,0.34,9.08,17.91,15.08,-17.82,-24.96,-1.9538977955912005,-22.31,58.49,134.58,9.3883466933868,56.19058116232465,79.44,5.2352104208416845,55.73,-0.0385270541082162,44.27,-2557.44,44.63,0.62,0.77,-11.87,-8.78,-11.12,-24.18,-32.86,107.3,-32.93,-60.24,-60.24,-21.3,-11.87,26.71,-8.3,58.49,56434.0,-4952.0,-18544.0,1480.0,56.0,-18488.0,-18583.0,-9759.0,3389.0,156525.0,39131.0,69297.0,51019.0,84612.0,-18.76,56434.0,60554.0,-18544.0,-18488.0,94.0,-18583.0,-0.57,22673.0,3620.0,7283.0,39131.0,156525.0,51019.0,18278.0,69297.0,87227.0,18039.0,-9759.0,17569.0,-4421.0,3389.0,21428.0,39131.0,117394.0,156525.0,51019.0,18278.0,69297.0,87227.0,156525.0,0
1217,22.0,33187.0,28262.0,1.17,1024.0,9.08,12.89,20.72,0.19,0.78,0.05,0.09,243.57,1.11,422.07,29.7,0.64,9.09,9.52,28.35,24.58,9.79,-42.12,21.22,33.44,58.82,9.3883466933868,56.19058116232465,35.79,5.2352104208416845,73.65,-0.0385270541082162,26.35,-5607.34,106.6,2.06,2.3,6.54,16.05,7.14,14.47,11.82,83.4,11.16,54.44,54.44,8.88,6.54,2.24,9.76,33.44,161909.0,25994.0,19138.0,920.0,1050.0,20188.0,18068.0,14092.0,16229.0,276156.0,156529.0,72779.0,68016.0,203377.0,9.11,161909.0,135024.0,19138.0,20188.0,2120.0,18068.0,0.54,72505.0,4875.0,16418.0,156529.0,276156.0,68016.0,4763.0,72779.0,203377.0,41102.0,14092.0,8775.0,-6637.0,16229.0,57331.0,156529.0,119628.0,276156.0,68016.0,4763.0,72779.0,203377.0,276156.0,0
603696,27.0,23520.0,22499.0,1.05,398.0,16.58,10.55,4.47,0.04,0.26,0.01,0.01,251.28,1.07,427.42,29.1,0.63,9.28,9.46,28.54,-1.04,-0.52,-55.0,0.64,17.52,48.5,9.3883466933868,56.19058116232465,17.68,5.2352104208416845,84.97,-0.0385270541082162,15.03,-592.7,117.59,3.55,3.95,2.54,16.03,2.53,4.95,4.58,83.5,4.01,6.87,6.87,2.99,2.54,8.54,4.15,17.52,40293.0,6458.0,1844.0,76.0,-1085.2114228456917,1844.0,1615.0,422.0,-4693.0,63467.0,37310.0,9537.0,9446.0,53930.0,2.97,40293.0,33646.0,1844.0,1844.0,229.0,1615.0,0.07,11108.0,1612.0,3779.0,37310.0,63467.0,9446.0,91.0,9537.0,53930.0,15693.0,422.0,-2446.0,-2940.0,-4693.0,11000.0,37310.0,26156.0,63467.0,9446.0,91.0,9537.0,53930.0,63467.0,0
837,15.721442885771545,89937.091,97614.0,0.92,9898.0,16.03,10.21,-2.68,-0.02,-0.4,-0.01,-0.03,420.23,0.64,707.73,190.07,0.38,1.42,72.58,3.72,8.62,6.69,-22.65,-23.89,90.22,82.89,8.09,76.19,104.3,4.31,48.95,0.22,51.05,1205.45,32.54,0.95,1.49,2.69,17.67,2.77,8.07,7.52,81.2,7.26,24.99,24.99,5.49,2.69,10.75,3.33,90.22,309645.0,54699.0,23276.0,794.0,-20.0,23256.0,22472.0,-8940.0,-24911.0,836132.0,496887.0,426869.0,333207.0,343758.0,6.19,309645.0,251423.0,23276.0,23256.0,783.0,22472.0,0.23,108436.0,99104.0,179579.0,496887.0,836132.0,333207.0,93662.0,426869.0,409263.0,115152.0,-8940.0,-21725.0,5563.0,-24911.0,90241.0,496887.0,339245.0,836132.0,333207.0,93662.0,426869.0,409263.0,836132.0,0
300718,27.0,29801.0549,7950.0,3.75,983.0,10.58,10.48,39.16,0.3,0.61,0.05,0.1,366.0,0.74,571.07,88.8,0.47,3.04,88.0,3.07,10.3,7.98,5.28,10.13,15.46,42.23,1.87,41.44,17.54,1.62,85.08,0.03,14.92,-4723.21,32.72,4.57,5.55,7.43,27.06,7.64,23.65,19.0,72.17,16.17,43.48,43.48,8.74,7.43,7.32,13.08,15.46,80156.0,21693.0,15231.0,2006.0,-16.0,15216.0,12958.0,7874.0,-5981.0,174298.0,111675.0,26008.0,20106.0,139132.0,9.39,80156.0,57844.0,15231.0,15216.0,2258.0,12958.0,0.44,6580.0,27712.0,19881.0,111675.0,174298.0,20106.0,5902.0,26008.0,148290.0,12464.0,7874.0,-9603.0,-4322.0,-5981.0,6483.0,111675.0,62623.0,174298.0,20106.0,5902.0,26008.0,148290.0,174298.0,0
899,15.721442885771545,97567.776,84637.0,1.15,796.0,62.19,11.81,11.94,0.03,1.17,0.02,0.07,164.07,1.65,982.18,30.68,0.27,8.8,34.21,7.89,17.8,-1.72,-1.9538977955912005,41.74,112.88,184.32,44.57,102.18,123.95,35.9,44.65,11.26,55.35,311.66,54.69,1.06,1.22,1.47,9.94,1.55,6.04,5.79,89.67,5.63,16.45,16.45,3.3,1.47,5.29,47.28,112.88,285086.0,28328.0,16508.0,7848.0,-81.0,16426.0,16050.0,18854.0,9348.0,1088752.0,192651.0,602592.0,157929.0,480945.0,3.38,285086.0,255626.0,16508.0,16426.0,376.0,16050.0,0.16,86367.0,50465.0,25650.0,192651.0,1088752.0,157929.0,444663.0,602592.0,486160.0,75292.0,18854.0,-92218.0,82712.0,9348.0,84640.0,192651.0,896101.0,1088752.0,157929.0,444663.0,602592.0,486160.0,1088752.0,0
