code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit,Total_profit,Income_tax_expense,Net_profit,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents,Closing_cash_and_cash_equivalents_balances,Total_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Total_liabilities_and_owners_equity,y
2999,15.721442885771545,34759.2,26201.0,1.33,2152.0,37.69,10.64,-19.85,-0.17,-7.41,-0.14,-0.07,104.81,2.58,130.55,48.6,2.07,5.56,6.83,39.52,25.49,7.56,5.38,36.55,337.42,94.08,9.3883466933868,56.19058116232465,384.89,5.2352104208416845,20.62,-0.0385270541082162,79.38,683.48,20.54,0.66,1.16,1.86,6.52,2.03,1.32,1.28,93.38,0.98,36.83,36.83,9.04,1.86,4.55,1.47,337.42,1302514.0,84912.0,16717.0,128.0,120.0,16837.0,12803.0,-94922.0,-20590.0,687064.0,553755.0,545369.0,478103.0,114293.0,7.89,1302514.0,1216308.0,16717.0,16837.0,4034.0,12803.0,0.26,98183.0,59588.0,239016.0,553755.0,687064.0,478103.0,67266.0,545369.0,141695.0,87443.0,-94922.0,-22466.0,96786.0,-20590.0,66853.0,553755.0,133308.0,687064.0,478103.0,67266.0,545369.0,141695.0,687064.0,0
603696,27.0,23520.0,22499.0,1.05,398.0,16.58,10.55,4.47,0.04,0.26,0.01,0.01,251.28,1.07,427.42,29.1,0.63,9.28,9.46,28.54,-1.04,-0.52,-55.0,0.64,17.52,48.5,9.3883466933868,56.19058116232465,17.68,5.2352104208416845,84.97,-0.0385270541082162,15.03,-592.7,117.59,3.55,3.95,2.54,16.03,2.53,4.95,4.58,83.5,4.01,6.87,6.87,2.99,2.54,8.54,4.15,17.52,40293.0,6458.0,1844.0,76.0,-1085.2114228456917,1844.0,1615.0,422.0,-4693.0,63467.0,37310.0,9537.0,9446.0,53930.0,2.97,40293.0,33646.0,1844.0,1844.0,229.0,1615.0,0.07,11108.0,1612.0,3779.0,37310.0,63467.0,9446.0,91.0,9537.0,53930.0,15693.0,422.0,-2446.0,-2940.0,-4693.0,11000.0,37310.0,26156.0,63467.0,9446.0,91.0,9537.0,53930.0,63467.0,0
300718,27.0,29801.0549,7950.0,3.75,983.0,10.58,10.48,39.16,0.3,0.61,0.05,0.1,366.0,0.74,571.07,88.8,0.47,3.04,88.0,3.07,10.3,7.98,5.28,10.13,15.46,42.23,1.87,41.44,17.54,1.62,85.08,0.03,14.92,-4723.21,32.72,4.57,5.55,7.43,27.06,7.64,23.65,19.0,72.17,16.17,43.48,43.48,8.74,7.43,7.32,13.08,15.46,80156.0,21693.0,15231.0,2006.0,-16.0,15216.0,12958.0,7874.0,-5981.0,174298.0,111675.0,26008.0,20106.0,139132.0,9.39,80156.0,57844.0,15231.0,15216.0,2258.0,12958.0,0.44,6580.0,27712.0,19881.0,111675.0,174298.0,20106.0,5902.0,26008.0,148290.0,12464.0,7874.0,-9603.0,-4322.0,-5981.0,6483.0,111675.0,62623.0,174298.0,20106.0,5902.0,26008.0,148290.0,174298.0,0
301032,15.0,24113.34,14428.0,1.67,1622.0,13.13,11.47,5.75,0.05,9.39,0.03,0.04,294.89,0.92,406.69,73.75,0.66,3.66,50.68,5.33,-6.51,1.06,-85.29,-17.45,118.97,61.62,9.3883466933868,56.19058116232465,125.48,5.2352104208416845,44.35,-0.0385270541082162,55.65,94.66,42.05,1.09,1.38,0.32,8.27,0.32,0.02,0.02,91.41,0.48,3.19,3.19,0.73,0.32,4.62,338.49,118.97,161652.0,13369.0,35.0,119.0,-1085.2114228456917,35.0,770.0,7229.0,613.0,238423.0,173268.0,132683.0,125797.0,105740.0,0.72,161652.0,147767.0,35.0,35.0,-734.0,770.0,0.03,52899.0,45683.0,36292.0,173268.0,238423.0,125797.0,6886.0,132683.0,105740.0,37635.0,7229.0,4538.0,-11154.0,613.0,38248.0,173268.0,65155.0,238423.0,125797.0,6886.0,132683.0,105740.0,238423.0,0
819,32.0,30632.5255,22410.0,1.37,639.0,25.04,10.17,33.99,0.32,1.28,0.06,0.03,55.37,4.88,141.19,8.92,1.91,30.28,2.9,92.99,22.43,16.2,66.44,84.14,21.9,80.49,9.3883466933868,56.19058116232465,23.09,5.2352104208416845,81.24,-0.0385270541082162,18.76,-2049.31,118.63,1.62,1.95,4.72,7.24,4.91,3.01,2.89,92.26,2.57,19.8,19.8,5.81,4.72,3.61,5.09,21.9,236442.0,17123.0,6822.0,308.0,41.0,6862.0,6066.0,7776.0,611.0,128558.0,44498.0,24116.0,22875.0,95798.0,5.41,236442.0,218143.0,6822.0,6862.0,796.0,6066.0,0.17,27136.0,3113.0,7422.0,44498.0,128558.0,22875.0,1242.0,24116.0,104442.0,24214.0,7776.0,-14402.0,7122.0,611.0,24825.0,44498.0,84060.0,128558.0,22875.0,1242.0,24116.0,104442.0,128558.0,0
301155,13.0,21739.1478,26067.0,0.83,983.0,7.63,10.78,-25.59,-0.24,-1.26,-0.04,-0.26,1236.26,0.22,1584.51,109.81,0.17,2.46,344.43,0.78,81.57,153.54,-74.81,-73.24,21.17,38.35,9.3883466933868,56.19058116232465,22.14,5.2352104208416845,81.87,-0.0385270541082162,18.13,-1135.4,112.83,3.49,3.96,3.53,13.23,3.57,25.96,23.15,85.88,20.92,112.59,112.59,4.31,3.53,2.21,37.43,21.17,117014.0,15484.0,27092.0,10180.0,-62.0,27029.0,24477.0,-30771.0,-233364.0,693757.0,475941.0,125750.0,120240.0,544110.0,4.4,117014.0,100497.0,27092.0,27029.0,2553.0,24477.0,1.11,135664.0,164284.0,55708.0,475941.0,693757.0,120240.0,5510.0,125750.0,568006.0,348461.0,-30771.0,-147219.0,-55373.0,-233364.0,115097.0,475941.0,217816.0,693757.0,120240.0,5510.0,125750.0,568006.0,693757.0,0
603956,11.0,50843.5363,11843.0,4.29,2152.0,74.4,24.3,-25.68,-0.18,0.230961923847695,-0.07,-0.45,975.43,0.28,1501.67,227.46,0.18,1.19,439.17,0.61,61.2,61.76,-200.09,-35.75,43.41,54.59,9.3883466933868,56.19058116232465,62.66,5.2352104208416845,61.48,-0.0385270541082162,38.52,-989.47,108.17,2.21,2.49,-4.22,53.03,-4.93,-27.81,-33.73,45.76,-27.44,-27.92,-27.92,-6.86,-4.22,74.76,-3.92,43.41,51720.0,27428.0,-17446.0,750.0,-64.0,-17510.0,-14194.0,-23074.0,59722.0,336704.0,223693.0,129700.0,89852.0,206065.0,-8.0,51720.0,23668.0,-17446.0,-17510.0,-3316.0,-14194.0,-0.3,97191.0,82645.0,25156.0,223693.0,336704.0,89852.0,39848.0,129700.0,207005.0,33877.0,-23074.0,-13974.0,96769.0,59722.0,93599.0,223693.0,113011.0,336704.0,89852.0,39848.0,129700.0,207005.0,336704.0,0
300780,19.0,14667.0,12600.0,1.16,1994.0,6.32,11.23,5.69,0.04,0.37,0.02,0.07,422.47,0.64,1071.43,364.47,0.25,0.74,66.47,4.06,23.9,10.75,137.26,30.59,72.64,111.07,13.75,95.79,85.29,8.61,53.97,0.91,46.03,1293.1,25.99,0.54,1.31,4.68,29.97,5.03,29.35,23.85,68.98,19.97,71.12,71.12,8.68,4.68,10.15,15.45,72.64,52223.0,15654.0,12454.0,2063.0,-164.0,12290.0,10431.0,3878.0,9647.0,222690.0,89206.0,102508.0,68141.0,119842.0,9.05,52223.0,36022.0,12454.0,12290.0,1859.0,10431.0,0.71,17710.0,14112.0,52389.0,89206.0,222690.0,68141.0,34367.0,102508.0,120182.0,6670.0,3878.0,-17978.0,23451.0,9647.0,16317.0,89206.0,133484.0,222690.0,68141.0,34367.0,102508.0,120182.0,222690.0,0
688223,16.0,1000000.0,70833.0,14.12,31017.0,16.24,19.56,3.36,0.03,1.35,0.02,0.04,313.04,0.86,469.97,98.85,0.57,2.73,47.61,5.67,74.79,92.58,132.38,117.4,277.76,142.07,11.47,125.78,335.66,2.97,22.95,0.45,77.05,-441.46,39.19,0.79,1.11,1.51,9.99,1.82,3.92,3.75,89.76,3.18,16.76,16.76,6.59,1.51,4.29,-8.0,277.76,5277172.0,526955.0,198137.0,-12700.0,-2910.0,195226.0,167596.0,226138.0,500257.0,11083695.0,7469349.0,8539606.0,6737002.0,2544090.0,7.19,5277172.0,4736793.0,198137.0,195226.0,27630.0,167596.0,0.17,2639993.0,1141887.0,2143337.0,7469349.0,11083695.0,6737002.0,1802603.0,8539606.0,2544090.0,738221.0,226138.0,-911244.0,1165017.0,500257.0,1238477.0,7469349.0,3614347.0,11083695.0,6737002.0,1802603.0,8539606.0,2544090.0,11083695.0,1
300926,11.0,15490.53,9841.0,1.57,1039.0,6.54,22.81,1.89,0.02,0.31,0.01,0.03,383.8,0.7,706.44,166.38,0.38,1.62,120.55,2.24,67.6,30.91,34.44,64.65,111.86,96.52,3.4,93.24,114.2,1.65,46.69,0.38,53.31,895.01,23.28,0.68,1.09,3.12,20.8,3.68,12.67,10.79,78.63,9.63,52.06,52.06,6.68,3.12,6.95,1.09,111.86,83747.0,17416.0,9039.0,36608.162324649296,100.0,9139.0,8064.0,2468.0,10601.0,258681.0,142113.0,137915.0,130830.0,120766.0,8.17,83747.0,65848.0,9039.0,9139.0,1075.0,8064.0,0.57,30457.0,37112.0,52708.0,142113.0,258681.0,130830.0,7085.0,137915.0,120766.0,13513.0,2468.0,-22879.0,31024.0,10601.0,24114.0,142113.0,116568.0,258681.0,130830.0,7085.0,137915.0,120766.0,258681.0,0
