code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity.1,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit.1,Total_profit.1,Income_tax_expense,Net_profit.1,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets.1,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities.1,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities.1,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents.1,Closing_cash_and_cash_equivalents_balances,Total_current_assets.1,Total_non_current_assets,Total_assets.2,Total_current_liabilities.1,Total_non_current_liabilities.1,Total_liabilities.2,Total_owners_equity.1,Total_liabilities_and_owners_equity,y
597,29,143431.6265,41325,3.45,7102,35.71,17.35,6.51,0.06,4.92,0.04,0.1,325.5,0.83,583.91,85.4,0.46,3.16,82.3,3.28,9.69,4.67,373.2,7.6,231.91,139.13,0,0,242.16,0,29.23,0,70.77,-3543.4,43.86,0.75,0.88,0.9,37.71,0.96,3.36,3.47,61.35,2.08,9.59,9.59,3.07,0.9,32.31,-9.16,231.91,656942,247740,22767,0,-1910,20857,13663,67268,118417,1523641,904090,1078346,1032670,429743,3.05,656942,403053,22767,20857,7194,13663,0.09,452968,215959,130253,904090,1523641,1032670,45677,1078346,445294,122062,67268,-17499,67722,118417,240479,904090,619551,1523641,1032670,45677,1078346,445294,1523641,0
2999,0,34759.2,26201,1.33,2152,37.69,10.64,-19.85,-0.17,-7.41,-0.14,-0.07,104.81,2.58,130.55,48.6,2.07,5.56,6.83,39.52,25.49,7.56,5.38,36.55,337.42,94.08,0,0,384.89,0,20.62,0,79.38,683.48,20.54,0.66,1.16,1.86,6.52,2.03,1.32,1.28,93.38,0.98,36.83,36.83,9.04,1.86,4.55,1.47,337.42,1302514,84912,16717,128,120,16837,12803,-94922,-20590,687064,553755,545369,478103,114293,7.89,1302514,1216308,16717,16837,4034,12803,0.26,98183,59588,239016,553755,687064,478103,67266,545369,141695,87443,-94922,-22466,96786,-20590,66853,553755,133308,687064,478103,67266,545369,141695,687064,1
698,26,81951.4395,63543,1.29,2621,31.25,10,19.2,0.14,0,0.08,0.14,256.65,1.05,531.39,56.52,0.51,4.78,5.79,46.63,-16.78,-10.47,-174.93,-40.8,105.62,121.15,15.26,102.66,121.01,8.15,45.25,1.47,54.75,-314.3,57.46,0.96,1.14,-2.82,2.21,-2.6,-4.62,-4.73,97.07,-5.11,-29.59,-29.59,-6.24,-2.82,3.9,-0.8,105.62,474518,10501,-22451,0,177,-22274,-24250,65362,17486,858790,388007,470210,340436,387573,-6.09,474518,460602,-22451,-22274,1976,-24250,-0.3,195621,11256,61274,388007,858790,340436,129774,470210,388580,105253,65362,1567,-49467,17486,122738,388007,470783,858790,340436,129774,470210,388580,858790,0
1209,18,13152.272,17689,0.74,2019,3.67,5.6,-46.61,-0.41,-30.18,-0.06,-0.11,340.26,0.79,474.18,176.46,0.57,1.53,31.08,8.69,-1.36,-1.13,-95.65,6.05,16.3,46.26,0,0,18.46,0,84.42,0,15.58,-576.32,107.82,2.53,4.43,0.21,36.42,0.21,0.71,0.62,62.96,0.36,2.4,2.4,0.25,0.21,30.32,40.54,16.3,86386,31460,535,191,43,578,315,-9508,-55441,148246,90358,23102,20398,125158,0.26,86386,54388,535,578,263,315,0.02,21993,10331,38690,90358,148246,20398,2704,23102,125144,77434,-9508,-45580,-354,-55441,21993,90358,57888,148246,20398,2704,23102,125144,148246,0
2186,0,30846.3955,24773,1.25,3121,17.27,31.11,-19.13,-0.14,0,-0.06,-0.17,218.06,1.24,799.53,29.75,0.34,9.08,17.91,15.08,-17.82,-24.96,0,-22.31,58.49,134.58,0,0,79.44,0,55.73,0,44.27,-2557.44,44.63,0.62,0.77,-11.87,-8.78,-11.12,-24.18,-32.86,107.3,-32.93,-60.24,-60.24,-21.3,-11.87,26.71,-8.3,58.49,56434,-4952,-18544,1480,56,-18488,-18583,-9759,3389,156525,39131,69297,51019,84612,-18.76,56434,60554,-18544,-18488,94,-18583,-0.57,22673,3620,7283,39131,156525,51019,18278,69297,87227,18039,-9759,17569,-4421,3389,21428,39131,117394,156525,51019,18278,69297,87227,156525,1
1217,22,33187,28262,1.17,1024,9.08,12.89,20.72,0.19,0.78,0.05,0.09,243.57,1.11,422.07,29.7,0.64,9.09,9.52,28.35,24.58,9.79,-42.12,21.22,33.44,58.82,0,0,35.79,0,73.65,0,26.35,-5607.34,106.6,2.06,2.3,6.54,16.05,7.14,14.47,11.82,83.4,11.16,54.44,54.44,8.88,6.54,2.24,9.76,33.44,161909,25994,19138,920,1050,20188,18068,14092,16229,276156,156529,72779,68016,203377,9.11,161909,135024,19138,20188,2120,18068,0.54,72505,4875,16418,156529,276156,68016,4763,72779,203377,41102,14092,8775,-6637,16229,57331,156529,119628,276156,68016,4763,72779,203377,276156,0
301129,14,7439,5426,1.37,622,39.07,42.77,-69.71,-0.69,-4.31,-0.09,-0.88,2402.14,0.11,2724.52,582.52,0.1,0.46,441.9,0.61,171.63,258.56,190.23,37.35,14.68,15.97,0,0,14.91,0,87.02,0,12.98,-2715.04,65.88,5.73,6.74,2.07,54.26,2.01,28.58,23.62,44.68,20.29,47.26,47.26,2.37,2.07,36.81,34.89,14.68,17324,9400,4092,1431,-5,4087,3516,-15162,-57206,170224,146571,22089,21750,148135,2.37,17324,7741,4092,4087,571,3516,0.47,12505,27206,21874,146571,170224,21750,339,22089,148135,69615,-15162,-37903,-4141,-57206,12409,146571,23653,170224,21750,339,22089,148135,170224,1
2685,18,100769.0641,74561,1.35,910,15.38,24.18,6.41,0.06,5.14,0.02,0.11,1009.35,0.27,1436.17,519.53,0.19,0.52,371.39,0.73,-28.33,-35.02,0,-89.15,52.88,49.19,1.08,48.66,58.13,0.69,63.24,0.02,36.76,532.7,19.46,1.17,2.1,0.41,14.03,0.4,6.91,7.14,85.41,2.1,1.56,1.56,0.65,0.41,14.29,-1.37,52.88,74820,10499,5346,89,-160,5185,1573,8079,981,384741,265045,141429,125987,243312,0.65,74820,63904,5346,5185,3612,1573,0.02,20180,97765,117605,265045,384741,125987,15442,141429,243312,11454,8079,17110,-24481,981,12434,265045,119696,384741,125987,15442,141429,243312,384741,0
600353,28,59200.7971,23103,2.56,1426,19,12.69,-9.43,-0.09,-0.88,-0.02,-0.08,536.25,0.5,762.28,122.35,0.35,2.21,199.04,1.36,49.96,48.39,14.71,19.6,33.3,38.29,0.57,38.07,35.61,0.43,73.74,0.01,26.26,4094.97,97.38,2.48,2.97,2.59,25.52,3.07,12.08,10.15,73.99,8.67,11.81,11.81,3.51,2.59,9.59,4.25,33.3,80574,20559,8179,345,3,8182,6989,-6146,43654,270163,193894,70949,65192,179279,4.46,80574,59617,8179,8182,1193,6989,0.1,63452,71235,32004,193894,270163,65192,5757,70949,199214,19776,-6146,-14835,64595,43654,63430,193894,76270,270163,65192,5757,70949,199214,270163,0
688330,11,10000,6626,1.51,563,54.53,20.07,-61.39,-0.57,-1.07,-0.08,-0.37,1168.83,0.23,1298.7,333.5,0.21,0.81,245.23,1.1,12.08,7.59,-12.75,5,15.31,13.59,1.07,13.45,15.36,0.94,86.68,0.01,13.32,-10896.97,111.49,6.13,7.15,7.1,51.46,7.21,70.02,40.07,48.09,34.66,286.58,286.58,8.19,7.1,8.67,9.94,15.31,82681,42548,33129,3301,-8,33121,28658,-30583,-22684,403842,356259,53780,49817,350062,8.3,82681,39761,33129,33121,4463,28658,2.87,55541,93906,50863,356259,403842,49817,3963,53780,350062,76829,-30583,11529,-3630,-22684,54145,356259,47582,403842,49817,3963,53780,350062,403842,0
