浙江仙通橡塑股份有限公司,26,"27,072.000000",10083,2.68,1990,4.92,16.03,-86.94,-0.81,-2.81,-0.20,-0.40,349.51,0.77,562.15,97.80,0.48,,2.76,117.24,2.30,8.23,-0.89,-14.28,17.03,,,30.28,53.50,,,,32.40,,,75.53,,24.47,"5,278.70",9.60,2.06,2.61,7.08,28.73,6.76,19.96,16.30,70.49,14.07,33.62,33.62,9.38,7.08,,10.00,0.40,30.28,"64,702","18,587","10,545",91,-48,"10,496","9,101","-25,555","-11,868","128,522","76,593","31,454","29,395","97,069",9.53,"64,702","45,606","10,545","10,496","1,395","9,101",0.34,"2,821","29,528","16,144","76,593",,"128,522","29,395","2,059","31,454","97,069","13,656","-25,555","-4,376","18,063","-11,868","1,788","76,593","51,930","128,522","29,395","2,059","31,454","97,069","128,522"
昆药集团股份有限公司,27,"75,825.576900",36133,2.10,5719,3.11,13.1,-3.26,-0.03,-0.30,-0.01,-0.02,274.25,0.98,392.04,139.93,0.69,,1.93,97.51,2.77,9.04,5.43,-13.06,2.74,,,69.91,52.44,,1.02,51.90,77.14,,0.58,56.45,0.02,43.55,"1,523.49",35.57,1.31,1.81,4.18,42.02,4.23,8.17,7.56,57.13,6.14,50.15,50.15,7.41,4.18,,34.27,1.54,69.91,"619,272","260,213","46,817",866,-147,"46,670","38,026","-11,525","-27,152","909,127","639,995","395,893","353,487","497,073",7.62,"619,272","353,801","46,817","46,670","8,644","38,026",0.49,"125,728","260,741","178,367","639,995",,"909,127","353,487","42,406","395,893","513,234","145,574","-11,525","-14,092","-1,781","-27,152","118,422","639,995","269,133","909,127","353,487","42,406","395,893","513,234","909,127"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆国际实业股份有限公司,23,"48,068.599300",38268,1.26,547,13.89,6.03,-68.30,-0.63,-1.19,-0.12,-0.50,546.01,0.49,"1,245.96",323.55,0.22,,0.83,148.86,1.81,-0.31,15.53,462.33,11.19,,,20.82,60.73,,,,22.57,,,81.59,,18.41,"2,531.32",18.50,1.51,2.97,9.71,13.72,8.98,59.48,57.17,85.52,41.44,64.13,64.13,11.90,9.71,,9.86,100.66,20.82,"74,383","10,203","42,526","42,808",14,"42,540","30,825","-36,834","4,314","317,553","160,221","58,474","53,932","253,874",12.52,"74,383","63,608","42,526","42,540","11,715","30,825",0.62,"9,978","51,889","78,549","160,221",,"317,553","53,932","4,542","58,474","259,079","5,183","-36,834","79,661","-38,687","4,314","9,496","160,221","157,332","317,553","53,932","4,542","58,474","259,079","317,553"
中国国际海运集装箱(集团)股份有限公司,,"539,252.038500",116331,4.64,69520,0.0,0.0,12.10,0.09,1.96,0.05,0.08,207.33,1.30,382.98,58.29,0.71,,4.63,63.34,4.26,-5.14,-3.32,-57.82,-7.70,,,142.50,113.14,,23.86,86.14,154.08,,12.34,39.36,1.05,60.64,-912.80,28.59,0.97,1.27,2.70,15.16,2.71,6.29,6.21,84.46,3.84,77.77,77.77,6.86,2.70,,5.86,-11.53,142.50,"10,913,309","1,654,242","677,673","-17,199","-54,659","623,014","419,394","821,891","232,240","15,528,455","8,613,880","9,416,917","6,793,406","4,756,245",6.77,"10,913,309","9,217,571","677,673","623,014","203,621","419,394",0.57,"1,937,953","2,571,253","1,996,396","8,613,880",,"15,528,455","6,793,406","2,623,510","9,416,917","6,111,538","1,652,999","821,891","-669,030","12,819","232,240","1,885,238","8,613,880","6,914,574","15,528,455","6,793,406","2,623,510","9,416,917","6,111,538","15,528,455"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江永太科技股份有限公司,23,"87,656.629500",152739,0.57,3504,0.0,27.63,11.50,0.10,1.04,0.06,0.14,217.76,1.24,578.03,104.39,0.47,,2.59,48.85,5.53,24.01,12.17,50.04,49.15,,,155.48,160.34,,16.42,134.00,159.94,,7.56,38.47,-0.54,61.53,"3,059.72",16.62,0.49,0.73,5.76,29.71,6.16,19.97,16.31,69.73,13.19,73.42,73.42,14.97,5.76,,11.22,3.67,155.48,"488,123","145,004","79,611","3,080",-162,"79,449","64,360","67,172","5,924","1,117,512","428,214","687,603","583,951","399,443",14.53,"488,123","340,389","79,611","79,449","15,089","64,360",0.63,"94,082","109,598","142,986","428,214",,"1,117,512","583,951","103,652","687,603","429,909","36,679","67,172","-87,985","24,568","5,924","42,604","428,214","689,298","1,117,512","583,951","103,652","687,603","429,909","1,117,512"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海凯鑫分离技术股份有限公司,11,"6,378.346600",9655,0.66,94,67.02,29.79,84.60,0.74,3.30,0.06,0.51,"1,938.26",0.14,"2,163.46",185.87,0.12,,1.45,351.88,0.77,-1.11,2.54,-52.48,-39.08,,,8.30,11.51,,,,9.49,,,91.34,,8.66,-332.42,567.79,11.00,11.80,1.94,37.16,1.94,22.02,17.49,62.32,15.58,21.63,21.63,2.13,1.94,,16.97,37.62,8.30,"8,854","3,290","1,549",578,7,"1,556","1,380","4,555",-599,"70,987","63,525","6,150","5,384","64,838",2.13,"8,854","5,518","1,549","1,556",176,"1,380",0.22,"30,569","11,001","4,308","63,525",,"70,987","5,384",766,"6,150","64,837","30,652","4,555","-2,184","-3,256",-599,"30,053","63,525","7,462","70,987","5,384",766,"6,150","64,837","70,987"
安徽华塑股份有限公司,,"350,740.181200",71785,4.89,2541,22.75,10.11,49.33,0.41,1.94,0.10,0.17,82.68,3.27,453.40,22.06,0.60,,12.24,1.31,205.42,7.03,37.99,-21.70,15.63,,,27.73,109.96,,,,33.10,,,75.13,,24.87,"6,228.62",40.58,0.65,0.83,5.29,17.20,5.15,11.71,9.99,79.98,8.65,13.06,13.06,7.04,5.29,,4.06,2.67,27.73,"529,638","91,073","52,909",465,975,"53,884","45,814","89,047","-53,593","866,299","150,579","215,426","180,506","650,873",7.00,"529,638","423,622","52,909","53,884","8,070","45,814",0.13,"73,248","2,886","33,267","150,579",,"866,299","180,506","34,919","215,426","650,873","119,908","89,047","-39,870","-102,770","-53,593","66,314","150,579","715,720","866,299","180,506","34,919","215,426","650,873","866,299"
天津赛象科技股份有限公司,27,"58,861.575000",76117,0.77,906,37.2,31.9,34.09,0.34,4.87,0.10,0.52,"1,102.94",0.24,"1,346.63",431.72,0.20,,0.63,204.17,1.32,8.45,2.94,-13.06,-30.71,,,41.52,22.77,,,,41.82,,,70.51,,29.49,-54.57,41.53,2.02,2.87,2.05,33.60,2.15,12.76,9.85,65.88,10.72,6.11,6.11,2.90,2.05,,14.41,14.96,41.52,"33,568","11,394","3,308",364,153,"3,461","3,598","17,533","-6,184","175,675","147,473","51,802","51,435","115,371",3.06,"33,568","22,115","3,308","3,461",-136,"3,598",0.06,"21,359","23,606","43,422","147,473",,"175,675","51,435",367,"51,802","123,874","26,402","17,533","-25,752",-103,"-6,184","20,218","147,473","28,202","175,675","51,435",367,"51,802","123,874","175,675"
淮北矿业控股股份有限公司,,"248,103.592500",31558,7.86,48173,9.7,5.32,37.58,0.24,1.89,0.13,0.18,91.92,2.94,361.11,15.12,0.75,,17.85,8.55,31.56,13.09,18.33,39.13,18.12,,,94.03,156.90,,15.50,132.58,118.48,,8.40,45.77,-1.30,54.23,"1,414.64",34.18,0.72,0.81,6.87,20.92,7.16,12.87,11.67,77.89,9.57,221.18,221.18,15.01,6.87,,7.41,-3.40,94.03,"5,731,395","1,208,543","668,677","9,125","-30,821","637,856","548,754","1,039,414","427,235","7,985,203","2,250,542","4,330,320","2,766,069","3,177,422",17.74,"5,731,395","4,464,246","668,677","637,856","89,101","548,754",2.10,"945,572","186,966","246,833","2,250,542",,"7,985,203","2,766,069","1,564,251","4,330,320","3,654,883","437,239","1,039,414","-259,059","-353,120","427,235","864,473","2,250,542","5,734,662","7,985,203","2,766,069","1,564,251","4,330,320","3,654,883","7,985,203"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潍柴动力股份有限公司,,"872,655.682100",438796,1.99,42953,37.24,23.42,-1.92,-0.01,-0.65,-0.01,-0.02,346.78,0.78,591.46,83.82,0.46,,3.22,45.88,5.88,0.49,-0.40,-63.34,-21.57,,,146.61,118.28,,18.33,96.60,190.21,,7.73,34.46,0.47,65.54,-565.97,58.01,1.10,1.38,1.27,16.67,1.31,3.24,2.92,83.09,2.86,42.81,42.81,3.68,1.27,,10.04,10.40,146.61,"13,052,345","2,175,270","380,800","26,857","14,223","395,022","373,625","-241,719","-913,027","29,479,198","17,464,644","19,321,300","12,613,287","7,107,020",4.63,"13,052,345","10,844,918","380,800","395,022","21,397","373,625",0.38,"6,970,410","2,616,852","3,574,767","17,464,644",,"29,479,198","12,613,287","6,708,013","19,321,300","10,157,898","6,861,274","-241,719","-1,237,236","556,521","-913,027","5,948,247","17,464,644","12,014,554","29,479,198","12,613,287","6,708,013","19,321,300","10,157,898","29,479,198"
北京同有飞骥科技股份有限公司,24,"48,452.579800",26690,1.83,360,77.5,49.72,-1.08,-0.01,-0.86,-0.00,-0.01,812.52,0.33,"1,675.98",250.93,0.16,,1.08,243.40,1.11,2.11,-0.60,,19.52,,,24.10,63.44,,5.71,59.82,24.72,,4.85,80.18,0.14,19.82,67.30,66.63,2.80,3.40,0.18,44.23,0.18,-0.90,-0.74,54.86,1.15,0.70,0.70,0.23,0.18,,21.56,738.84,24.10,"29,739","13,155",-220,"-1,545",13,-207,341,-293,-992,"188,050","92,398","37,270","27,216","150,780",0.23,"29,739","16,315",-220,-207,-548,341,0.01,"18,135","30,050","16,218","92,398",,"188,050","27,216","10,054","37,270","150,780","19,119",-293,"-3,845","2,985",-992,"18,127","92,398","95,652","188,050","27,216","10,054","37,270","150,780","188,050"
